Project,Snapshot,Sha,File,Line,Is_Buggy
bitcoin,2013-02-11,1ed2cfc452baaab2fe0c0a40fd085024b5200c14,src/rpcwallet.cpp,387,0
bitcoin,2013-02-11,1ed2cfc452baaab2fe0c0a40fd085024b5200c14,src/bitcoinrpc.cpp,516,0
bitcoin,2012-11-13,c34a32699ecfb8b5557922d7674db26771cec6ac,src/leveldb/db/memtable.cc,95,0
bitcoin,2013-11-08,eacc6f4a26467950c05987af87f604482d8bd0c1,src/rpcwallet.cpp,1361,0
bitcoin,2013-11-08,eacc6f4a26467950c05987af87f604482d8bd0c1,src/leveldb/db/filename_test.cc,27,0
bitcoin,2013-08-10,c7fa1a358620a785af50c56cc02284990f63c608,src/qt/bitcoingui.cpp,289,0
bitcoin,2012-11-13,c34a32699ecfb8b5557922d7674db26771cec6ac,src/net.cpp,573,0
bitcoin,2013-02-11,1ed2cfc452baaab2fe0c0a40fd085024b5200c14,src/rpcwallet.cpp,431,0
bitcoin,2012-02-17,72075edafb62ebff58063af123d3c8bf1370f0e2,src/qt/bitcoinamountfield.cpp,116,0
bitcoin,2012-11-13,c34a32699ecfb8b5557922d7674db26771cec6ac,src/leveldb/db/dbformat_test.cc,93,0
bitcoin,2013-05-12,0fe8010a10bafd67f9131b2da034fb9cd7fc5024,src/rpcwallet.cpp,1140,0
bitcoin,2013-11-08,eacc6f4a26467950c05987af87f604482d8bd0c1,src/leveldb/db/db_impl.cc,263,0
bitcoin,2014-02-02,b920148258ac78d975ded66eebfa8c0c89de3b9b,src/test/key_tests.cpp,35,0
bitcoin,2012-11-13,c34a32699ecfb8b5557922d7674db26771cec6ac,src/net.cpp,648,0
bitcoin,2013-05-12,0fe8010a10bafd67f9131b2da034fb9cd7fc5024,src/qt/askpassphrasedialog.cpp,159,0
bitcoin,2013-02-11,1ed2cfc452baaab2fe0c0a40fd085024b5200c14,src/leveldb/db/db_test.cc,346,0
bitcoin,2013-05-12,0fe8010a10bafd67f9131b2da034fb9cd7fc5024,src/main.cpp,268,0
bitcoin,2013-02-11,1ed2cfc452baaab2fe0c0a40fd085024b5200c14,src/test/base58_tests.cpp,98,0
bitcoin,2010-11-24,776d0f34595fd616129d4816a337662ff39de7c6,json/json_spirit_reader.cpp,59,0
bitcoin,2012-05-17,f4ac41806af5766199a7d526a7becbcb8a0f5ab3,src/qt/transactionview.cpp,160,0
bitcoin,2012-11-13,c34a32699ecfb8b5557922d7674db26771cec6ac,src/net.cpp,666,0
bitcoin,2010-05-28,1da44d2e96cd2461eb25ffd17c417cf2e5aef9de,ui.cpp,52,0
bitcoin,2013-08-10,c7fa1a358620a785af50c56cc02284990f63c608,src/leveldb/util/crc32c.cc,138,0
bitcoin,2013-05-12,0fe8010a10bafd67f9131b2da034fb9cd7fc5024,src/leveldb/util/cache.cc,107,0
bitcoin,2014-02-02,b920148258ac78d975ded66eebfa8c0c89de3b9b,src/leveldb/db/db_test.cc,158,0
bitcoin,2009-08-31,465e1d99f25cc7f45efcacfcbb1f95c1c1f9a4ee,script.cpp,183,0
bitcoin,2013-08-10,c7fa1a358620a785af50c56cc02284990f63c608,src/main.cpp,171,0
bitcoin,2012-11-13,c34a32699ecfb8b5557922d7674db26771cec6ac,src/qt/signverifymessagedialog.cpp,115,0
bitcoin,2014-02-02,b920148258ac78d975ded66eebfa8c0c89de3b9b,src/netbase.cpp,862,0
bitcoin,2013-05-12,0fe8010a10bafd67f9131b2da034fb9cd7fc5024,src/qt/askpassphrasedialog.cpp,207,0
bitcoin,2013-11-08,eacc6f4a26467950c05987af87f604482d8bd0c1,src/leveldb/db/autocompact_test.cc,47,0
bitcoin,2011-11-19,1c15f88653b0f60fe5e021192cbb81c4f193159c,src/main.cpp,1950,0
bitcoin,2013-05-12,0fe8010a10bafd67f9131b2da034fb9cd7fc5024,src/qt/bitcoingui.cpp,249,0
bitcoin,2013-02-11,1ed2cfc452baaab2fe0c0a40fd085024b5200c14,src/test/base58_tests.cpp,183,0
bitcoin,2012-08-15,4b94f4e0ed38a95a3e2c3e80258fe73b88c3826c,src/main.cpp,819,0
bitcoin,2013-11-08,eacc6f4a26467950c05987af87f604482d8bd0c1,src/qt/splashscreen.cpp,26,0
bitcoin,2013-02-11,1ed2cfc452baaab2fe0c0a40fd085024b5200c14,src/qt/walletmodel.cpp,17,0
bitcoin,2013-02-11,1ed2cfc452baaab2fe0c0a40fd085024b5200c14,src/wallet.cpp,1351,0
bitcoin,2013-02-11,1ed2cfc452baaab2fe0c0a40fd085024b5200c14,src/leveldb/db/db_test.cc,423,0
bitcoin,2012-02-17,72075edafb62ebff58063af123d3c8bf1370f0e2,src/qt/transactiontablemodel.cpp,504,0
bitcoin,2010-11-24,776d0f34595fd616129d4816a337662ff39de7c6,cryptopp/cpu.cpp,34,0
bitcoin,2012-11-13,c34a32699ecfb8b5557922d7674db26771cec6ac,src/qt/addresstablemodel.cpp,377,0
bitcoin,2012-11-13,c34a32699ecfb8b5557922d7674db26771cec6ac,src/qt/signverifymessagedialog.cpp,171,0
bitcoin,2012-08-15,4b94f4e0ed38a95a3e2c3e80258fe73b88c3826c,src/main.cpp,100,0
bitcoin,2012-02-17,72075edafb62ebff58063af123d3c8bf1370f0e2,src/key.cpp,61,0
bitcoin,2012-11-13,c34a32699ecfb8b5557922d7674db26771cec6ac,src/net.cpp,153,0
bitcoin,2011-02-22,d787e00a3bb47c513566a8f9baef5b6b3c6d93b4,main.cpp,1157,0
bitcoin,2012-02-17,72075edafb62ebff58063af123d3c8bf1370f0e2,src/net.cpp,471,0
bitcoin,2012-08-15,4b94f4e0ed38a95a3e2c3e80258fe73b88c3826c,src/bitcoinrpc.cpp,1661,0
bitcoin,2010-02-27,6557910ccf36e098b1a0de4841be7c04c4ffd58a,ui.cpp,1821,0
bitcoin,2013-05-12,0fe8010a10bafd67f9131b2da034fb9cd7fc5024,src/walletdb.cpp,301,0
bitcoin,2013-02-11,1ed2cfc452baaab2fe0c0a40fd085024b5200c14,src/qt/transactiontablemodel.cpp,337,0
bitcoin,2010-08-26,5b721607b1057df4dfe97f80d235ed372312f398,main.cpp,1725,0
bitcoin,2013-05-12,0fe8010a10bafd67f9131b2da034fb9cd7fc5024,src/key.cpp,271,0
bitcoin,2011-08-21,e4dde849ae5544383703ef2d73592677e6c528ad,src/main.cpp,3029,0
bitcoin,2011-05-23,8968bf2e36ca17d18ffe4c333d349cd7557c058b,core/src/db.cpp,521,0
bitcoin,2013-08-10,c7fa1a358620a785af50c56cc02284990f63c608,src/script.cpp,1242,0
bitcoin,2010-11-24,776d0f34595fd616129d4816a337662ff39de7c6,cryptopp/sha.cpp,809,0
bitcoin,2013-08-10,c7fa1a358620a785af50c56cc02284990f63c608,src/leveldb/db/version_edit.cc,136,0
bitcoin,2012-11-13,c34a32699ecfb8b5557922d7674db26771cec6ac,src/leveldb/port/port_win.cc,155,0
bitcoin,2013-11-08,eacc6f4a26467950c05987af87f604482d8bd0c1,src/leveldb/db/leveldb_main.cc,71,0
bitcoin,2011-02-22,d787e00a3bb47c513566a8f9baef5b6b3c6d93b4,rpc.cpp,2033,0
bitcoin,2012-05-17,f4ac41806af5766199a7d526a7becbcb8a0f5ab3,src/net.cpp,1857,0
bitcoin,2014-02-02,b920148258ac78d975ded66eebfa8c0c89de3b9b,src/netbase.cpp,1020,0
bitcoin,2012-05-17,f4ac41806af5766199a7d526a7becbcb8a0f5ab3,src/test/multisig_tests.cpp,276,0
